Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R),Date,State
0.8986829032454169,0.018658828966523145,0.8587545500210269,0.864513592950382,0.9258534884702188,0.9010055348806931,0.9258534884702188,0.9258534884702188,0.9299202836536546,2020-09-21,RJ
0.9228495038156903,0.022454754913708432,0.8755825192255027,0.8825991903716507,0.9567442302887967,0.9249622086818874,0.9567442302887967,0.9567442302887967,0.9619468780085119,2020-09-22,RJ
0.8753304820385718,0.020048239611406417,0.831888569119617,0.8390021836216566,0.9051464996058973,0.8772814182208217,0.9051464996058973,0.9051464996058973,0.9095507563761797,2020-09-23,RJ
1.1447378826887513,0.02559898552567252,1.0928249273991288,1.1011783686316132,1.1855945599152542,1.1454302286391234,1.1855945599152542,1.1855945599152542,1.1922823609879745,2020-09-24,RJ
0.9972406176756943,0.013821463980200975,0.9683573421931884,0.9736511293751282,1.0191950571553474,0.9977077295187671,1.0191950571553474,1.0191950571553474,1.0233244270928925,2020-09-25,RJ
0.8584077887532097,0.0117764007557579,0.8364430623472159,0.8397139310297873,0.878548291955314,0.8579754988780623,0.878548291955314,0.878548291955314,0.882646750649048,2020-09-26,RJ
1.0277489801022275,0.014271050237700481,1.003172752936495,1.006678962059902,1.0536068923998916,1.0264726127314616,1.0536068923998916,1.0536068923998916,1.0602137383527142,2020-09-27,RJ
1.0378630920749459,0.0121278128485507,1.0142211969339117,1.0179180092834539,1.0578655553979033,1.0378594142237154,1.0578655553979033,1.0578655553979033,1.0616286129186392,2020-09-28,RJ
1.0326155648548174,0.01126938558502339,1.0105722975987987,1.0140724105451475,1.0511621642007534,1.0326453724026394,1.0511621642007534,1.0511621642007534,1.0547470936103762,2020-09-29,RJ
1.0227015596324949,0.012059467838111649,0.9992720404073694,1.0029434950063951,1.042581460938444,1.0226535535279684,1.042581460938444,1.042581460938444,1.0463964330190134,2020-09-30,RJ
0.8479514619806,0.01049889997675675,0.8277943948698493,0.8309556766033444,0.8654626403691706,0.8477900878147847,0.8654626403691706,0.8654626403691706,0.8689004051136077,2020-10-01,RJ
1.1326681146077813,0.016124136292124797,1.105924281856382,1.1096742062355867,1.162688345076678,1.1307876112695,1.162688345076678,1.162688345076678,1.170604569465846,2020-10-02,RJ
1.2370639321927637,0.013290790333378159,1.2096295294777264,1.2147660026477574,1.2582438561757696,1.2374316546713415,1.2582438561757696,1.2582438561757696,1.262068201456319,2020-10-03,RJ
0.9938846236445171,0.025088465532840415,0.9380393632388119,0.9468530945230231,1.0281725918356033,0.9980226219998544,1.0281725918356033,1.0281725918356033,1.0324354576969288,2020-10-04,RJ
1.1214993025079436,0.021681977643848483,1.0859721368367532,1.0901925966472412,1.1607533460141994,1.1189046862538476,1.1607533460141994,1.1607533460141994,1.1679207352651522,2020-10-05,RJ
1.1419271562106312,0.018699313390668867,1.107343015241946,1.1122079050853753,1.173371926975941,1.1413942103437016,1.173371926975941,1.173371926975941,1.1796504123823701,2020-10-06,RJ
1.2031213740138718,0.0233351729945693,1.158079346535241,1.1643638976995643,1.240144303176599,1.2037177883710508,1.240144303176599,1.240144303176599,1.2460470931696332,2020-10-07,RJ
1.2806886441109615,0.03156570148733088,1.2188758846128884,1.2270766616606499,1.3290096116759254,1.2824637742789098,1.3290096116759254,1.3290096116759254,1.3356075803796228,2020-10-08,RJ
1.029852800408128,0.034173756841835844,0.9635229688930688,0.9720024925528808,1.0819400758895514,1.0317887533576022,1.0819400758895514,1.0819400758895514,1.088844946617776,2020-10-09,RJ
1.010869620997838,0.024262979238597018,0.9709181845769583,0.9754444077161684,1.0529812186829475,1.008586256762522,1.0529812186829475,1.0529812186829475,1.0606196678111117,2020-10-10,RJ
1.0116225921455408,0.01621912320058001,0.9790867307311689,0.9839500468317051,1.037240367812605,1.0122698462807636,1.037240367812605,1.037240367812605,1.041439098147161,2020-10-11,RJ
0.8835018195783279,0.013115320386969012,0.8570087798138989,0.8611165277060502,0.9043206424796311,0.8839760647548305,0.9043206424796311,0.9043206424796311,0.9079004768645748,2020-10-12,RJ
0.731250746760655,0.014663141233049093,0.704207553376942,0.7078551006856869,0.7559292702110676,0.7309553049078723,0.7559292702110676,0.7559292702110676,0.7607652423178572,2020-10-13,RJ
0.6806627986598163,0.025228902534072183,0.6396813595502242,0.6442366041854044,0.7266801477266476,0.6779264085817411,0.7266801477266476,0.7266801477266476,0.7361750318903189,2020-10-14,RJ
0.5696865936653462,0.02997516396217409,0.5191617599551681,0.5248778097228498,0.6226103335652168,0.566880385798014,0.6226103335652168,0.6226103335652168,0.6319568215676694,2020-10-15,RJ
0.7392595491504597,0.05051871153536023,0.6550732308009454,0.6646321252601484,0.8286424496810983,0.7341253969020463,0.8286424496810983,0.8286424496810983,0.84505986168641,2020-10-16,RJ
0.6685676345967192,0.041936053805520034,0.5904567734348858,0.6011238795663582,0.7342804161444515,0.6684417053200924,0.7342804161444515,0.7342804161444515,0.7412072112154507,2020-10-17,RJ
0.8394125040554982,0.04776221471427846,0.753352335347767,0.7646661134717718,0.9147857801421253,0.8385498916818755,0.9147857801421253,0.9147857801421253,0.9234636431947254,2020-10-18,RJ
0.9348302789442607,0.04252806798159691,0.8585409037463125,0.8664540622416378,0.9991999957712756,0.9358922061658821,0.9991999957712756,0.9991999957712756,1.0067346426642396,2020-10-19,RJ
1.096783403279683,0.037926933622796435,1.0315415028917407,1.0384684348223399,1.1620015229601903,1.0947523850450325,1.1620015229601903,1.1620015229601903,1.172740214601505,2020-10-20,RJ
3.0831671905034397,1.6418049291427357,0.7724399843709713,0.9774805949060301,6.178482646953838,2.7907913180450765,6.178482646953838,6.178482646953838,7.054778701457098,2020-03-04,SP
4.7928227735591475,1.938620327205337,1.8205456345240847,2.1426714530289788,8.37653364044668,4.516345001077272,8.37653364044668,8.37653364044668,9.304061641728973,2020-03-05,SP
5.778555588676521,2.1421947922712996,2.4740272771353076,2.834644438164472,9.730818697687031,5.480529144860259,9.730818697687031,9.730818697687031,10.741533002292266,2020-03-06,SP
4.606283875541029,1.8977858797072233,1.8808327457362104,2.140877058699897,8.205040532492639,4.270078239446386,8.205040532492639,8.205040532492639,9.153439382049829,2020-03-07,SP
3.7651210304476606,1.4887690456214926,1.6899802261863575,1.8921939223927884,6.63010324033119,3.4754175556257225,6.63010324033119,6.63010324033119,7.4218024658549195,2020-03-08,SP
2.6209977790343717,0.94484572973949,1.2502867403182485,1.3936741365734595,4.403847595718373,2.4569834436920495,4.403847595718373,4.403847595718373,4.904944840167244,2020-03-09,SP
2.3553498060911573,0.7079942026483353,1.2641688951694692,1.3889071168230054,3.6735440950548846,2.2535566699623857,3.6735440950548846,3.6735440950548846,4.01527487967959,2020-03-10,SP
2.9064452905283775,0.6856560580166826,1.7856482886073413,1.9223596164482502,4.154839734037788,2.8292680643730987,4.154839734037788,4.154839734037788,4.461899810768591,2020-03-11,SP
3.0297100153553553,0.6763063820559098,1.8968734399718266,2.03679116839669,4.238631503546297,2.9659550663088585,4.238631503546297,4.238631503546297,4.507632287711973,2020-03-12,SP
2.9558980716073644,0.67045429520598,1.8549479661864725,1.9799874499411636,4.163326120093942,2.8875338885946755,4.163326120093942,4.163326120093942,4.415107484198693,2020-03-13,SP
2.5500867032954053,0.5843074288303175,1.6140667908856692,1.7162630232449325,3.6135731540536415,2.48180053945603,3.6135731540536415,3.6135731540536415,3.846671548207875,2020-03-14,SP
4.511774455881376,0.860945974596262,3.160484908272634,3.3019430897504214,6.090398661083674,4.405034819146954,6.090398661083674,6.090398661083674,6.42042448009142,2020-03-15,SP
3.687342369021616,0.8975817054645816,2.212391909110491,2.3603943233924887,5.2647402762648055,3.6293493569335586,5.2647402762648055,5.2647402762648055,5.549079364376133,2020-03-16,SP
2.7408315673919024,0.7165795563911195,1.6957982031568646,1.7840553351369828,4.093204313555569,2.6350216796174957,4.093204313555569,4.093204313555569,4.355765880245374,2020-03-17,SP
2.931208652171191,0.634470363173603,2.031874300876508,2.109293941472219,4.153570186435746,2.8234828008952393,4.153570186435746,4.153570186435746,4.418926605924995,2020-03-18,SP
2.5983742928852207,0.5000089964874462,1.8281376123605428,1.9031251019139694,3.5177723279294466,2.5382789778572326,3.5177723279294466,3.5177723279294466,3.6977959033601673,2020-03-19,SP
2.8046404716791558,0.49170787178734154,2.0460507665269523,2.116412954985083,3.7002912611781693,2.7520231237323545,3.7002912611781693,3.7002912611781693,3.8599451597180443,2020-03-20,SP
2.53182098832661,0.43969873571353996,1.8268493042371619,1.8970807400402818,3.3152200271653713,2.495193919480692,3.3152200271653713,3.3152200271653713,3.4462889215505963,2020-03-21,SP
2.495520641620045,0.4163132345446062,1.84786338980115,1.9075142974139216,3.249382316475619,2.454962363188149,3.249382316475619,3.249382316475619,3.3716006550995745,2020-03-22,SP
2.3780785477778745,0.3763301534142759,1.7861991811544833,1.8426371259235024,3.054953083925631,2.3446073589228593,3.054953083925631,3.054953083925631,3.1662918968447236,2020-03-23,SP
2.0807928257004917,0.31325155300707497,1.587531343819594,1.6335811600739043,2.640072447965106,2.0536272356255045,2.640072447965106,2.640072447965106,2.7323570423715036,2020-03-24,SP
1.6484895998346434,0.22183226647721163,1.3031317426566955,1.334972660378386,2.047083553589433,1.626342108810642,2.047083553589433,2.047083553589433,2.112301546650707,2020-03-25,SP
1.7442849101841849,0.1815196317813578,1.4637624304316788,1.4900342952088357,2.0703674230186127,1.72288119733459,2.0703674230186127,2.0703674230186127,2.125122992891894,2020-03-26,SP
1.6545014789768866,0.14805101224593398,1.4096123442466826,1.4350886624455879,1.9094477777669974,1.6435008286680513,1.9094477777669974,1.9094477777669974,1.9487516015742905,2020-03-27,SP
1.6749928082784724,0.13916702413745263,1.4401597484673214,1.4651117329474963,1.9097658594160312,1.6676382770159122,1.9097658594160312,1.9097658594160312,1.9439694879657599,2020-03-28,SP
1.2900901973825745,0.10626504378083533,1.1065467961319122,1.1270348291712673,1.4675358988986962,1.286006899514228,1.4675358988986962,1.4675358988986962,1.4941423288313846,2020-03-29,SP
1.1101286085091528,0.07490834970477067,0.9807616729154514,0.9961708884976983,1.239447470337138,1.1051198476850765,1.239447470337138,1.239447470337138,1.260786700461804,2020-03-30,SP
2.090552955146252,0.0956554108330974,1.911206303904891,1.9350793573919618,2.248200277138752,2.0899442752241115,2.248200277138752,2.248200277138752,2.2760594806658245,2020-03-31,SP
2.60447498673976,0.19020471647129025,2.187046259422633,2.2548967639633353,2.8738661617901493,2.6312560923993225,2.8738661617901493,2.8738661617901493,2.906906817984678,2020-04-01,SP
2.4927506909698467,0.33568721084023345,1.8604808728175888,1.9341862707792552,3.0036948090379902,2.519809468507969,3.0036948090379902,3.0036948090379902,3.050763993271813,2020-04-02,SP
2.306301005884409,0.36965351515593375,1.7148434769049092,1.768765263817541,2.96891794366564,2.2877810798030778,2.96891794366564,2.96891794366564,3.055982879349903,2020-04-03,SP
2.0185843211201098,0.3109091812253478,1.551089844103087,1.5897307438556243,2.5982982223011426,1.9888574279224975,2.5982982223011426,2.5982982223011426,2.691027383388013,2020-04-04,SP
1.7297873961925838,0.226865526992676,1.3955908283952447,1.421417835947207,2.150937566225507,1.703827970398856,2.150937566225507,2.150937566225507,2.2197271933768654,2020-04-05,SP
1.5676073163195738,0.16112829008711474,1.3311498810721927,1.3481045795494897,1.8614832319847654,1.548715507897533,1.8614832319847654,1.8614832319847654,1.907902131096981,2020-04-06,SP
1.385384866297705,0.11052496077800877,1.2176102850847104,1.23043270109919,1.5805102526697075,1.374002936691535,1.5805102526697075,1.5805102526697075,1.6067701419991725,2020-04-07,SP
1.4065665267628238,0.08574059466570454,1.271024036022431,1.2829560154289112,1.554268663175231,1.3982103579558751,1.554268663175231,1.554268663175231,1.5727917521843773,2020-04-08,SP
1.385879370411852,0.07196214516130497,1.2678998301760966,1.2787337226828939,1.506389055572572,1.3812326592933915,1.506389055572572,1.506389055572572,1.522631077825205,2020-04-09,SP
1.3485781876388918,0.06529641594719801,1.2387549908098647,1.249139775048597,1.4559533454922915,1.3460610031975113,1.4559533454922915,1.4559533454922915,1.4706829852005576,2020-04-10,SP
1.1932739988935148,0.05470524036846198,1.099820221242142,1.1090573248840252,1.282772536729036,1.1916860392910094,1.282772536729036,1.282772536729036,1.2948052831521486,2020-04-11,SP
1.1824184560344366,0.04495143655004029,1.1039260058290299,1.1127435563035015,1.256985611607174,1.1806390193101755,1.256985611607174,1.256985611607174,1.268160012849736,2020-04-12,SP
1.1055325681227732,0.03530593832529102,1.0421896686579024,1.0500250342829673,1.1643828165509347,1.1044870781889724,1.1643828165509347,1.1643828165509347,1.1744764249341089,2020-04-13,SP
0.9810413483475025,0.027331554580584443,0.9302994659860926,0.9372321717344482,1.0268714591387902,0.9804837617490897,1.0268714591387902,1.0268714591387902,1.0355358577145075,2020-04-14,SP
1.1378328885759954,0.02932920989822244,1.0833832328137003,1.0909780335439925,1.187012945972997,1.1371516008545504,1.187012945972997,1.187012945972997,1.1957289541484264,2020-04-15,SP
